endTime,artistName,trackName,msPlayed
4/25/19 21:38,PUP,Sibling Rivalry,207840
4/25/19 21:40,PUP,Full Blown Meltdown,152973
4/25/19 21:44,PUP,Bare Hands,215306
4/25/19 21:48,PUP,City,231866
4/25/19 21:51,PUP,Familiar Patterns,219840
4/25/19 21:55,Mom Jeans.,near death fail comp (must watch til end),205685
4/25/19 21:57,Modern Baseball,Just Another Face,29559
4/25/19 22:03,Julia Jacklin,Body,307613
4/25/19 22:06,Julia Jacklin,Head Alone,178986
4/25/19 22:10,Julia Jacklin,Pressure To Party,182306
4/25/19 22:15,Julia Jacklin,Don't Know How To Keep Loving You,332986
4/25/19 22:19,Julia Jacklin,When The Family Flies In,240026
4/25/19 22:22,Julia Jacklin,Convention,196106
4/25/19 22:27,Julia Jacklin,Good Guy,251880
4/25/19 22:29,Julia Jacklin,You Were Right,142386
4/25/19 22:35,Julia Jacklin,Turn Me Down,349626
4/25/19 22:38,Julia Jacklin,Comfort,187773
4/25/19 22:40,Julia Jacklin,Pool Party,128810
4/25/19 23:24,Lizzo,Cuz I Love You,179978
4/25/19 23:27,Lizzo,Like a Girl,184857
4/25/19 23:30,Lizzo,Juice,195333
4/25/19 23:33,Lizzo,Soulmate,175234
4/25/19 23:37,Lizzo,Jerome,231570
4/25/19 23:40,Lizzo,Crybaby,175952
4/25/19 23:43,Lizzo,Tempo (feat. Missy Elliott),175342
4/25/19 23:45,Lizzo,Exactly How I Feel (feat. Gucci Mane),143190
4/25/19 23:48,Lizzo,Better in Color,133058
4/25/19 23:51,Lizzo,Heaven Help Me,202321
4/25/19 23:51,Lizzo,Lingerie,7233
4/25/19 23:59,Lizzo,Fitness,1045
4/26/19 0:03,Lizzo,Lingerie,201618
4/26/19 0:14,Lizzo,Like a Girl,27125
4/26/19 0:14,Lizzo,Cuz I Love You,179978
4/26/19 0:21,Hop Along,Prior Things,342720
4/26/19 0:24,Adrianne Lenker,symbol,154486
4/26/19 2:21,PUP,See You at Your Funeral,220133
4/26/19 2:26,PUP,Scorpion Hill,308133
4/26/19 2:29,PUP,Closure,188413
4/26/19 2:32,PUP,"Bloody Mary, Kate and Ashley",164040
4/26/19 2:35,PUP,Sibling Rivalry,207840
4/26/19 2:35,PUP,Full Blown Meltdown,13882
4/26/19 2:56,PUP,Bare Hands,215306
4/26/19 2:57,PUP,City,16650
4/27/19 10:17,PUP,See You at Your Funeral,220133
4/27/19 10:21,PUP,Kids,210160
4/27/19 10:24,PUP,Free at Last,154813
4/27/19 10:26,PUP,Morbid Stuff,164600
4/27/19 10:29,PUP,"Bloody Mary, Kate and Ashley",164040
4/27/19 10:34,PUP,Scorpion Hill,308133
4/27/19 10:37,PUP,Closure,188413
4/27/19 10:41,PUP,Sibling Rivalry,207840
4/27/19 10:43,PUP,Full Blown Meltdown,152973
4/27/19 10:47,PUP,Bare Hands,215306
4/27/19 10:51,PUP,City,231866
4/27/19 10:57,Haley Heynderickx,Drinking Song,194808
4/27/19 10:57,Haley Heynderickx,Fish Eyes,40766
4/27/19 11:01,Haley Heynderickx,First I'm Sorry,229738
4/27/19 11:05,Haley Heynderickx,Fish Eyes,241885
4/27/19 11:08,Haley Heynderickx,Sane,193337
4/27/19 11:53,Julia Jacklin,Body,307613
4/27/19 11:56,Julia Jacklin,Head Alone,178986
4/27/19 11:59,Julia Jacklin,Pressure To Party,182306
4/27/19 12:04,Julia Jacklin,Don't Know How To Keep Loving You,332986
4/27/19 12:08,Julia Jacklin,When The Family Flies In,240026
4/27/19 12:12,Julia Jacklin,Convention,196106
4/27/19 12:16,Julia Jacklin,Good Guy,251880
4/27/19 12:18,Julia Jacklin,You Were Right,142386
4/27/19 12:24,Julia Jacklin,Turn Me Down,349626
4/27/19 12:27,Julia Jacklin,Comfort,187773
4/28/19 22:59,PUP,See You at Your Funeral,220133
4/28/19 23:00,PUP,Scorpion Hill,53765
4/30/19 2:33,Julia Jacklin,Body,307613
4/30/19 2:36,Julia Jacklin,Head Alone,178986
4/30/19 2:39,Julia Jacklin,Pressure To Party,182306
4/30/19 2:45,Julia Jacklin,Don't Know How To Keep Loving You,332986
4/30/19 2:49,Julia Jacklin,When The Family Flies In,240026
4/30/19 2:52,Julia Jacklin,Convention,196106
4/30/19 2:56,Julia Jacklin,Good Guy,251880
4/30/19 2:59,Julia Jacklin,You Were Right,142386
4/30/19 3:05,Julia Jacklin,Turn Me Down,349626
4/30/19 3:08,Julia Jacklin,Comfort,187773
4/30/19 3:15,Julia Jacklin,Body,307613
4/30/19 3:18,Julia Jacklin,Head Alone,178986
4/30/19 3:21,Julia Jacklin,Pressure To Party,182306
4/30/19 3:27,Julia Jacklin,Don't Know How To Keep Loving You,332986
4/30/19 3:31,Julia Jacklin,When The Family Flies In,240026
4/30/19 3:34,Julia Jacklin,Convention,196106
4/30/19 3:38,Julia Jacklin,Good Guy,251880
4/30/19 3:40,Julia Jacklin,You Were Right,142386
4/30/19 3:46,Julia Jacklin,Turn Me Down,349626
4/30/19 3:49,Julia Jacklin,Comfort,187773
4/30/19 4:53,Max García Conover,New Sweden,281024
4/30/19 4:56,Max García Conover,Grand Marquis,178975
4/30/19 4:59,Max García Conover,Same Deer,180000
4/30/19 5:02,Max García Conover,Fire on I295,175160
4/30/19 5:04,Max García Conover,On the Street After the Show,157345
4/30/19 5:07,Max García Conover,Neighbor Joe,171309
4/30/19 5:11,Max García Conover,Another Traveling Salesman,207118
4/30/19 5:14,Max García Conover,Gone,205223
4/30/19 5:16,Max García Conover,Tiny Horses,108843
4/30/19 5:19,Max García Conover,Motorhome,203132
4/30/19 5:24,Max García Conover,Abigail for a While,278768
5/1/19 11:26,Lizzo,Cuz I Love You,179978
5/1/19 11:29,Lizzo,Like a Girl,184857
5/1/19 11:32,Lizzo,Juice,195333
5/1/19 11:35,Lizzo,Soulmate,175234
5/1/19 11:39,Lizzo,Jerome,231570
5/1/19 11:41,Lizzo,Crybaby,126102
5/1/19 23:32,The Apache Relay,Katie Queen Of Tennessee,204653
5/1/19 23:34,Kishi Bashi,Manchester,3349
5/1/19 23:34,Vance Joy,Riptide,106441
5/2/19 23:45,PUP,Free at Last,154813
5/2/19 23:48,PUP,Doubts,150926
5/3/19 10:22,PUP,Scorpion Hill,3994
5/3/19 10:22,PUP,See You at Your Funeral,220133
5/3/19 10:25,PUP,Closure,188413
5/3/19 10:28,PUP,"Bloody Mary, Kate and Ashley",164040
5/3/19 10:31,PUP,Sibling Rivalry,207840
5/3/19 10:31,PUP,Bare Hands,3776
5/3/19 10:31,PUP,Full Blown Meltdown,3077
5/3/19 10:32,PUP,Free at Last,746
5/3/19 10:34,PUP,Morbid Stuff,164600
5/3/19 10:38,PUP,Kids,210160
5/3/19 14:38,PUP,Free at Last,47469
5/3/19 14:42,PUP,You Don't Get Me High Anymore (triple j Like A Version),214533
5/3/19 15:00,PUP,Guilt Trip,200626
5/3/19 15:04,PUP,My Life Is Over and I Couldn't Be Happier,146493
5/3/19 15:07,PUP,Reservoir,196666
5/3/19 15:10,PUP,Dark Days,206786
5/3/19 15:13,PUP,DVP,148893
5/3/19 15:16,PUP,Sleep In The Heat,201520
5/3/19 15:19,PUP,"If This Tour Doesn't Kill You, I Will",138813
5/3/19 15:21,PUP,Mabu,128613
5/3/19 15:25,PUP,Factories,269040
5/3/19 15:28,PUP,Back Against the Wall,146360
5/3/19 15:31,PUP,Familiar Patterns,219840
5/3/19 15:33,PUP,See You at Your Funeral,93125
5/4/19 10:15,PUP,Morbid Stuff,164600
5/4/19 10:19,PUP,Kids,210160
5/4/19 10:22,PUP,Free at Last,154813
5/4/19 10:25,PUP,See You at Your Funeral,220133
5/4/19 10:30,PUP,Scorpion Hill,308133
5/4/19 10:33,PUP,Closure,188413
5/4/19 10:36,PUP,"Bloody Mary, Kate and Ashley",164040
5/4/19 10:40,PUP,Sibling Rivalry,207840
5/4/19 10:42,PUP,Full Blown Meltdown,152973
5/4/19 10:46,PUP,Bare Hands,215306
5/4/19 10:50,PUP,City,231866
5/4/19 10:55,PUP,Scorpion Hill,308133
5/4/19 11:29,PUP,Closure,858
5/4/19 11:32,PUP,Morbid Stuff,164600
5/4/19 11:35,PUP,Kids,210160
5/4/19 11:38,PUP,Free at Last,154813
5/4/19 11:42,PUP,See You at Your Funeral,220133
5/4/19 11:47,PUP,Scorpion Hill,308133
5/4/19 11:50,PUP,Closure,188413
5/4/19 11:53,PUP,"Bloody Mary, Kate and Ashley",164040
5/4/19 11:56,PUP,Sibling Rivalry,207840
5/4/19 11:59,PUP,Full Blown Meltdown,152973
5/4/19 12:02,PUP,Bare Hands,215306
5/4/19 12:06,PUP,City,231866
5/4/19 20:28,PUP,Doubts,180346
5/4/19 20:31,PUP,Guilt Trip,200626
5/4/19 20:35,PUP,Factories,269040
5/4/19 20:39,PUP,You Don't Get Me High Anymore (triple j Like A Version),214533
5/4/19 20:42,PUP,DVP,148893
5/4/19 20:45,PUP,Sleep In The Heat,201520
5/4/19 20:48,PUP,Dark Days,206786
5/4/19 20:51,PUP,My Life Is Over and I Couldn't Be Happier,146493
5/4/19 20:54,PUP,Reservoir,196666
5/4/19 20:56,PUP,Mabu,128613
5/4/19 21:00,PUP,Familiar Patterns,219840
5/4/19 21:02,PUP,"If This Tour Doesn't Kill You, I Will",138813
5/4/19 21:05,PUP,Back Against the Wall,146360
5/4/19 21:10,PUP,Scorpion Hill,308133
5/4/19 21:14,PUP,See You at Your Funeral,220133
5/4/19 21:17,PUP,Kids,210160
5/4/19 21:20,PUP,Morbid Stuff,164600
5/4/19 21:22,PUP,Free at Last,154813
5/4/19 21:26,PUP,Sibling Rivalry,207840
5/4/19 21:29,PUP,Doubts,180346
5/4/19 21:31,Mom Jeans.,now THIS is podracing,151452
5/4/19 21:35,"Slaughter Beach, Dog",Gold and Green,187696
5/4/19 21:58,Modern Baseball,"Fine, Great",148047
5/4/19 22:00,Remo Drive,Name Brand,96601
5/5/19 15:32,PUP,You Don't Get Me High Anymore (triple j Like A Version),4416
5/5/19 15:36,PUP,Guilt Trip,200626
5/5/19 15:39,PUP,Reservoir,196666
5/5/19 15:41,PUP,DVP,148893
5/5/19 16:37,PUP,Back Against the Wall,43191
5/5/19 16:38,Josh Ritter,Getting Ready to Get Down,19434
5/5/19 16:40,Lucy Dacus,I Don't Wanna Be Funny Anymore,163292
5/5/19 16:44,Young the Giant,Superposition,222085
5/6/19 17:57,PUP,DVP,148893
5/6/19 18:00,PUP,Can't Win,187053
5/6/19 18:02,PUP,My Life Is Over and I Couldn't Be Happier,146493
5/6/19 18:05,PUP,"If This Tour Doesn't Kill You, I Will",138813
5/6/19 18:08,PUP,Sleep In The Heat,201520
5/6/19 18:12,PUP,Familiar Patterns,219840
5/6/19 18:16,PUP,Morbid Stuff,164600
